Name,Image_url,Price,Description
Teal Solid Cotton Short Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3321new.jpg?v=1640845263', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3324.jpg?v=1640845263', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3340aa.jpg?v=1640845263', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3327.jpg?v=1640845258', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3336.jpg?v=1640845258']","₹2,460","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts."
Floral Block Print Comfort Fit Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-756458.jpg?v=1625850454', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454.jpg?v=1625850454', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-894813.jpg?v=1625850454', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-799069.jpg?v=1625850454', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-609254.jpg?v=1625850454']","₹2,670","When summer gets too hot to bear, get your short shorts on. It has soft cotton fabric, relaxed fit, and patch pockets to keep you snug. Get out in the sun any day or to a brunch wearing these short shorts with a mustard crop top.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Powder Blue Checkered Handspun Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-428206.jpg?v=1625992472', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-240981.jpg?v=1625992472', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-686367.jpg?v=1625992472', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-530598.jpg?v=1625992472', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-109983.jpg?v=1625992472', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-523607.jpg?v=1625992472']","₹4,840","Take comfort in a classic with our checkered 100% Cotton Muslin Shorts. It features a half-elasticated waist with an attached belt for a secure grip. The shorts come with a tie-up at the front and 2 Slash Pockets for essentials.
Pair it with an off white shirt and flip-ons for a fresh look.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Kashish Dabu Print High-Rise Comfort Fit Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-688473.jpg?v=1626279264', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083.jpg?v=1626279264', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-614146.jpg?v=1626279264', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-154987.jpg?v=1626279264', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-547297.jpg?v=1626279264']","₹2,800","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts."
Blue Vegetable Dyed Straight Fit Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-966099.jpg?v=1625850728', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-990368.jpg?v=1625850728', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-233822.jpg?v=1625850728', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-658341.jpg?v=1625850728', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-695362.jpg?v=1625850728']","₹4,020","Looking for shorts that you can wear to a beach and lounge in too? Our vegetable-dyed straight fit shorts are what you need. With a banded waist and knife pleats for a contemporary silhouette, these come complete with inseam pockets to carry your stuff. Style these shorts with a white crop top and slide sandals for a relaxed day by the waves.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Block Printed Striped Boxer Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-632362.jpg?v=1626188018', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-516623.jpg?v=1626188018', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-782747.jpg?v=1626188018', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-582223.jpg?v=1626188018', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-964367.jpg?v=1626188018']","₹3,690","You haven't felt comfortable until you've put on these short boxer shorts. Breezy cotton cambric fabric, a loose fit, and inseam pockets - it doesn't get any comfier. The handcrafted tasseled drawstrings make it prettier to hang around in it all day paired with a blue crop top!Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Bottle Green Handspun Cotton Short Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1635copy.jpg?v=1638421904', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1638copy.jpg?v=1638421904', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1630copy.jpg?v=1638421904', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1632copy.jpg?v=1638421904', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1637copy.jpg?v=1638421904', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1641copy.jpg?v=1638421895']","₹4,330","Get your chic vibe on with our short shorts. Made from 100% cotton, these mid-rise shorts come with 2 patch pockets and 2 slash pockets for all your treasures. Style these with a tube top and slide sandals for an easy and comfy lounge attire.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
Cotton Beige Striped Paperbag Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-846996.jpg?v=1625992611', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-553172.jpg?v=1625992611', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-112570.jpg?v=1625992611', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-910890.jpg?v=1625992611', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-249864.jpg?v=1625992611', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-364694.jpg?v=1625992611']","₹3,550","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts."
Dusk Beige Cotton Corduroy Baggy Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-226961.jpg?v=1625992953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-687982.jpg?v=1625992953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-996234.jpg?v=1625992953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-623110.jpg?v=1625992953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-204099.jpg?v=1625992953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-282944.jpg?v=1625992953', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-419602.jpg?v=1625992953']","₹3,200","Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.This product can also be worn as a maternity outfit. "
Bagru Block Print Mustard Straight Shorts  ,"['//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-542898.jpg?v=1625993460', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-439136.jpg?v=1625993460', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-882396.jpg?v=1625993460', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-516913.jpg?v=1625993460', '//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-362635.jpg?v=1625993460']","₹3,540","A short shorts makes for a perfect wardrobe pick to deal with hot summer days. What makes them even better is a comfy straight fit and functional pockets. Pull on a white tee, and take it everywhere with you - casual day-out, beach, or a brunch.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique. "
